BOOT|LaunchELF
OPNPS2LD|Open PS2 Loader
REBOOT|Reboot System
POWEROFF|Shutdown System
OSDXMB|OSD-XMB
NICKYPS2|Nicky Boum
LBFN|LbFn
HWCLBFN|LbFn HWC
RABOOT|RetroArch
PS1VMODENEG|PS1VModeNeg
REGBA|ReGBA
TEMPGBA|TempGBA
XEBPLUS|Xtreme Elite Boot Plus
PS2OGCARDTEST|Original Card Test
MCA|Memory Card Annihilator
MEMCARDANNIHILATOR|Memory Card Annihilator
SMS|Simple Media System
HDDOSD|HDD-OSD
HDL|HD Loader
NEOCD|NeoCD/PS2
UOPL|Unofficial Open PS2 Loader
HDLSVR093|HDL Server
HDLSERVER093|HDL Server
GSM038|GSM
POPSLOADER|POPSLoader
PS2HDDTESTER|HDD Tester
3DPINBALLPLAYER|3D Pinball
3DPINBALL|3D Pinball
3DPINBALLPS2|3D Pinball
APOLLO|Apollo Save Tool
PGEN151|PGEN
NHDDLSTANDA|NHDDL
VTSPS2HBDL|VTSPS2-HBDL - HomeBrew DownLoader
PSXLAUNCHER|PSX Launcher
CLASSICUBEPS2|ClassiCube
MECHAPWNPCK|MechaPwn
