SLPM_802.38|'98 Koushien (Taikenban)||’９８　甲子園（体験版）
SLUS_007.52|Thrill Kill|Virgin Interactive|
SLPS_012.04|'98 Koushien: Koukou Yakyuu Simulation||高校野球シミュレーション ’９８ ＹＥＡＲ 甲子園
SLPS_021.10|'99 Koushien||’９９甲子園
SLPM_804.21|'99 Koushien (Taikenban)||’９９甲子園（体験版）
SLPS_011.69|'Butagee' de Iinja Nai?||「ぶたゲー」でいいんじゃない？
SLPS_013.11|0 kara no Mahjong: Mahjong Youchien Tamago-gumi||０からの麻雀　麻雀幼稚園　たまご組
SLPS_025.46|0 kara no Mahjong: Mahjong Youchien Tamago-gumi||０からの麻雀　麻雀幼稚園　たまご組
SLPS_019.86|0 kara no Shougi: Shougi Youchien Ayumi-gumi (Genteiban)||０からの将棋　将棋幼稚園　あゆみ組
SLPS_029.20|0 kara no Shougi: Shougi Youchien Ayumi-gumi (Genteiban)||０からの将棋　将棋幼稚園　あゆみ組
SLES_033.55|007 Racing||
SLES_033.56|007 Racing||
SLES_033.57|007 Racing||
SLUS_013.00|007 Racing||
SLES_023.75|007: Demain ne Meurt Jamais||
SLES_023.76|007: Der Morgen Stirbt Nie||
SLES_031.36|007: Die Welt Ist Nicht Genug||
SLES_031.37|007: El Mundo Nunca es Suficiente||
SLES_031.35|007: Le Monde ne Suffit Pas||
SLES_031.34|007: The World Is Not Enough||
SLES_031.38|007: The World Is Not Enough||
SLUS_012.72|007: The World Is Not Enough||
SLES_013.24|007: Tomorrow Never Dies||
SLPS_026.04|007: Tomorrow Never Dies||００７　～トゥモロー・ネバー・ダイ～
SLUS_009.75|007: Tomorrow Never Dies||
SLPS_017.06|1 on 1||１　ｏｎ　１　～ワン オン ワン～
SLPS_022.98|1 on 1||１　ｏｎ　１　～ワン オン ワン～
SLPM_803.51|1 on 1 (Taikenban)||ワン・オン・ワン（体験版）
SLPS_017.30|100 Man Yen Quiz Hunter||１００万円クイズハンター
SLES_036.58|100% Star||
SLES_037.84|100% Star||
SLPS_010.54|10101: ;Will; the Starship||１０１０１　～スターシップ・ウィル～
SLPM_806.43|10th Anniversary Memorial Save Data (Disc 1) (PlayStation Taiou)||“ＰｌａｙＳｔａｔｉｏｎ”　発売１０周年記念　１０ｔｈ　Ａｎｎｉｖｅｒｓａｒｙ　メモリアル　セーブデータＤＩＳＣ（ディスク１）
LSP99012.101|16 Tales 1||
LSP99012.201|16 Tales 2||
LSP99012.301|16 Tales 3||
LSP99012.401|16 Tales 4||
SLPS_018.65|19-ji 03-pun: Ueno-hatsu Yakou Ressha||１９時０３分　上野発夜光列車
SLPM_801.81|19-ji 03-pun: Ueno-hatsu Yakou Ressha (Taikenban)||１９時０３分　上野発夜光列車（体験版）
SLPS_023.48|20-seiki Striker Retsuden: The 20th Century's Real Strikers||２０世紀ストライカー列伝
SLPS_028.57|20-seiki Striker Retsuden: The 20th Century's Real Strikers||２０世紀ストライカー列伝
SLPS_914.16|20-seiki Striker Retsuden: The 20th Century's Real Strikers||２０世紀ストライカー列伝
SLES_038.30|2002 FIFA World Cup||
SLES_038.31|2002 FIFA World Cup||
SLES_038.32|2002 FIFA World Cup||
SLES_038.33|2002 FIFA World Cup||
SLES_038.34|2002 FIFA World Cup||
SLUS_014.49|2002 FIFA World Cup||
SCES_004.00|2Xtreme||
SCUS_945.08|2Xtreme||
SLES_031.20|3, 2, 1, Smurf! My First Racing Game||
SLES_020.89|360 Three Sixty||
SLUS_000.66|3D Baseball||
SLPS_006.93|3D Baseball: The Majors||３Ｄベースボール　～ザ・メジャー～
SLPS_014.34|3D Kakutou Tkool||３Ｄ格闘ツクール
SCES_000.09|3D Lemmings||
SCUS_946.01|3D Lemmings||
SIPS_600.02|3D Lemmings||３Ｄレミングス
SLPS_004.61|3D Mission Shooting: Finalist||３Ｄミッションシューティング ファイナリスト
SLPS_006.54|3D Shooting Tkool||３Ｄシューティングツクール
SCPS_180.06|3D-Kaleidoscope: Baby Universe||ベイビー・ユニバース
SCUS_942.31|3Xtreme||
SCUS_943.65|3Xtreme (Demo)||
SLPS_000.71|3x3 Eyes: Kyuusei Koushu (Disc 1)||サザン　アィズ　～吸精公主～（ディスク１）
SLPS_000.72|3x3 Eyes: Kyuusei Koushu (Disc 2)||サザン　アィズ　～吸精公主～（ディスク２）
SLPS_014.97|3x3 Eyes: Tenrin'ou Genmu (Disc 1)||サザンアイズ　～転輪王幻夢～（ディスク１）
SLPS_014.98|3x3 Eyes: Tenrin'ou Genmu (Disc 2)||サザンアイズ　～転輪王幻夢～（ディスク２）
SLPS_014.99|3x3 Eyes: Tenrin'ou Genmu (Disc 3)||サザンアイズ　～転輪王幻夢～（ディスク３）
SLES_000.95|4-4-2 Soccer||
SLES_019.37|40 Winks||
SLES_019.40|40 Winks||
SLES_019.41|40 Winks||
SLUS_008.74|40 Winks||
SLED_024.35|40 Winks (Demo)||
SLES_020.17|4x4 World Trophy||
SLES_040.64|5 Star Racing||
SLES_034.81|50 por 15: ¿Quiere Ser Millonario?||
SLPM_803.87|70's Robot Anime: Geppy-X (Taikenban)||´７０年代風ロボット・アニメ　ゲッＰ－Ｘ（体験版）
SLPS_019.95|70's Robot Anime: Geppy-X: The Super Boosted Armor (Disc 1)||´７０年代風ロボット・アニメ　ゲッＰ‐Ｘ（ディスク１）
SLPS_019.96|70's Robot Anime: Geppy-X: The Super Boosted Armor (Disc 2)||
SLPS_019.97|70's Robot Anime: Geppy-X: The Super Boosted Armor (Disc 3)||
SLPS_019.98|70's Robot Anime: Geppy-X: The Super Boosted Armor (Disc 4)||
SLPS_000.04|A Ressha de Ikou 4: Evolution||Ａ．Ⅳ．エヴォリューション　～Ａ列車で行こう４～
SLPS_000.11|A Ressha de Ikou 4: Evolution (Gentei)||Ａ．Ⅳ．エヴォリューション　～Ａ列車で行こう４～
SLPS_001.25|A Ressha de Ikou 4: Evolution Global||Ａ．Ⅳ．エヴォリューション・グローバル　～Ａ列車で行こう４グローバル～
SLPS_910.19|A Ressha de Ikou 4: Evolution Global||Ａ．Ⅳ．エヴォリューション・グローバル　～Ａ列車で行こう４グローバル～
SLPS_020.50|A Ressha de Ikou Z: Mezase! Tairiku Oudan||Ａ列車で行こうＺ 目指せ！大陸横断
SLPS_028.12|A Ressha de Ikou Z: Mezase! Tairiku Oudan||Ａ列車で行こうＺ 目指せ！大陸横断
SCES_021.53|A Sangre Fría (Disc 1)||
SCES_121.53|A Sangre Fría (Disc 2)||
SCES_021.52|A Sangue Freddo (Disc 1)||
SCES_121.52|A Sangue Freddo (Disc 2)||
SLPM_870.40|A Shin Megami Tensei: Devil Children: Kuro no Shoka no Sho||真・女神転生デビルチルドレン 黒の書・赤の書
SLUS_000.03|A-Train: Trains, Power, Money||
SCES_002.90|A.IV: Evolution Global||
SLES_026.95|A2 Racer: Europa Tour||
SCPS_451.53|A5: A Ressha de Ikou 5||Ａ５　Ａ列車で行こう５
SLPS_011.20|A5: A Ressha de Ikou 5||Ａ５　Ａ列車で行こう５
SLPS_911.24|A5: A Ressha de Ikou 5||Ａ５　Ａ列車で行こう５
SLES_018.75|AFL 99||
SLPS_024.11|AI Mahjong 2000||ＡＩ麻雀２０００
SLPM_871.17|AI Mahjong Selection||ＡＩ麻雀セレクション
SLPS_001.09|AI Shougi||ＡＩ将棋
SLPS_011.59|AI Shougi 2||ＡＩ将棋２
